date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-22,4.25,4.25,4.17,4.13,34992.8,-0.06,-1.42,4.206,4.212,4.186,39453.74,43062.95,43145.21
2019-01-21,4.21,4.28,4.23,4.17,38253.24,0.02,0.47,4.22,4.214,4.193,41302.49,43110.23,44611.52
2019-01-18,4.17,4.23,4.21,4.15,34108.67,0.06,1.45,4.208,4.213,4.204,43254.29,43566.68,44278.78
2019-01-17,4.27,4.27,4.15,4.15,48331.92,-0.12,-2.81,4.22,4.208,4.217,46856.26,44239.6,44608.16
2019-01-16,4.3,4.32,4.27,4.23,41582.08,0.03,0.71,4.23,4.201,4.234,44204.26,42679.82,44484.71
2019-01-15,4.15,4.26,4.24,4.15,44236.52,0.07,1.68,4.218,4.188,4.247,46672.16,42541.97,44707.99
2019-01-14,4.28,4.32,4.17,4.14,48012.26,-0.1,-2.34,4.208,4.172,4.257,44917.96,42876.18,46336.83
2019-01-11,4.2,4.37,4.27,4.19,52118.5,0.07,1.67,4.218,4.157,4.28,43879.07,42827.28,47626.93
2019-01-10,4.21,4.24,4.2,4.18,35071.95,-0.01,-0.24,4.196,4.148,4.295,41622.95,41757.47,48033.53
2019-01-09,4.2,4.28,4.21,4.2,53921.59,0.02,0.48,4.172,4.148,4.312,41155.37,45168.74,49338.14
2019-01-08,4.22,4.23,4.19,4.19,35465.52,-0.03,-0.71,4.158,4.16,4.322,38411.77,43227.47,49765.84
2019-01-07,4.25,4.26,4.22,4.18,42817.78,0.06,1.44,4.136,4.171,4.331,40834.4,46112.82,51076.9
2019-01-04,4.02,4.18,4.16,4.02,40837.92,0.08,1.96,4.096,4.195,4.341,41775.5,44990.87,52401.78
2019-01-03,4.14,4.18,4.08,4.08,32734.04,-0.06,-1.45,4.1,4.226,4.36,41891.99,44976.72,54127.14
2019-01-02,4.14,4.18,4.14,4.09,40203.6,0.06,1.47,4.124,4.267,4.388,49182.1,46289.6,56310.82
2018-12-28,4.02,4.14,4.08,4.02,47578.68,0.06,1.49,4.162,4.305,4.412,48043.17,46874.01,59991.29
2018-12-27,4.22,4.25,4.02,4.02,47523.24,-0.16,-3.83,4.206,4.341,4.434,51391.24,49797.48,61607.25
2018-12-26,4.19,4.22,4.18,4.13,41420.4,-0.02,-0.48,4.294,4.403,4.455,48206.25,52426.57,63850.49
2018-12-25,4.3,4.33,4.2,4.05,69184.6,-0.13,-3.0,4.352,4.441,4.474,48061.45,54309.58,66312.21
2018-12-24,4.3,4.34,4.33,4.27,34508.92,0.03,0.7,4.41,4.476,4.491,43397.1,53507.54,67499.72
2018-12-21,4.48,4.48,4.3,4.25,64319.02,-0.16,-3.59,4.448,4.484,4.504,45704.86,56304.21,70866.48
2018-12-20,4.47,4.51,4.46,4.43,31598.29,-0.01,-0.22,4.476,4.491,4.521,48203.72,56040.99,75442.46
2018-12-19,4.48,4.53,4.47,4.42,40696.44,-0.02,-0.45,4.512,4.486,4.541,56646.89,59812.7,85134.77
2018-12-18,4.47,4.53,4.49,4.4,45862.81,-0.03,-0.66,4.53,4.493,4.572,60557.71,63277.55,96702.19
2018-12-17,4.46,4.52,4.52,4.38,46047.72,0.08,1.8,4.542,4.508,4.587,63617.97,66332.05,106722.2
2018-12-14,4.63,4.67,4.44,4.43,76813.32,-0.2,-4.31,4.52,4.518,4.601,66903.57,73108.57,119922.26
2018-12-13,4.56,4.65,4.64,4.51,73814.17,0.08,1.75,4.506,4.527,4.616,63878.25,73417.02,131642.03
2018-12-12,4.51,4.58,4.56,4.51,60250.53,0.01,0.22,4.46,4.506,4.611,62978.5,75274.42,135911.78
2018-12-11,4.4,4.55,4.55,4.37,61164.13,0.14,3.17,4.456,4.507,4.608,65997.39,78314.84,141813.26
2018-12-10,4.38,4.51,4.41,4.37,62475.68,0.04,0.92,4.474,4.505,4.61,69046.12,81491.91,147875.87
2018-12-07,4.36,4.43,4.37,4.35,61686.76,-0.04,-0.91,4.516,4.523,4.617,79313.57,85428.75,151228.57
2018-12-06,4.54,4.55,4.41,4.4,69315.4,-0.13,-2.86,4.548,4.551,4.62,82955.78,94843.94,153602.55
2018-12-05,4.55,4.59,4.54,4.47,75344.97,-0.1,-2.15,4.552,4.596,4.625,87570.34,110456.85,158767.86
2018-12-04,4.62,4.64,4.64,4.57,76407.77,0.02,0.43,4.558,4.65,4.631,90632.29,130126.82,167221.38
2018-12-03,4.59,4.71,4.62,4.59,113812.94,0.09,1.99,4.536,4.665,4.632,93937.7,147112.35,172208.53
2018-11-30,4.48,4.54,4.53,4.33,79897.8,0.1,2.26,4.53,4.683,4.638,91543.93,166735.96,181238.92
2018-11-29,4.58,4.61,4.43,4.42,92388.2,-0.14,-3.06,4.554,4.705,4.643,106732.11,189867.04,192352.6
2018-11-28,4.52,4.59,4.57,4.41,90654.74,0.04,0.88,4.64,4.716,4.639,133343.36,196549.15,197270.95
2018-11-27,4.64,4.64,4.53,4.46,92934.82,-0.06,-1.31,4.742,4.709,4.632,169621.36,205311.68,204155.33
2018-11-26,4.64,4.69,4.59,4.54,101844.08,-0.06,-1.29,4.794,4.714,4.623,200287.0,214259.83,206536.19
2018-11-23,4.85,4.85,4.65,4.62,155838.69,-0.21,-4.32,4.836,4.71,4.607,241927.98,217028.39,207248.96
2018-11-22,5.01,5.03,4.86,4.84,225444.45,-0.22,-4.33,4.856,4.689,4.592,273001.98,212361.17,207755.69
2018-11-21,4.69,5.2,5.08,4.61,272044.75,0.29,6.05,4.792,4.654,4.565,259754.94,207078.87,206746.89
2018-11-20,4.75,4.94,4.79,4.69,246263.05,-0.01,-0.21,4.676,4.611,4.533,241002.0,204315.93,209043.05
2018-11-19,4.78,4.96,4.8,4.7,310048.97,0.05,1.05,4.634,4.599,4.508,228232.66,197304.7,211831.69
2018-11-16,4.53,4.75,4.75,4.5,311208.66,0.21,4.63,4.584,4.593,4.486,192128.79,195741.89,209024.79
2018-11-15,4.49,4.55,4.54,4.47,159209.27,0.04,0.89,4.522,4.58,4.456,151720.35,194838.17,202368.38
2018-11-14,4.56,4.63,4.5,4.48,178280.06,-0.08,-1.75,4.516,4.562,4.433,154402.79,197992.76,205670.81
2018-11-13,4.46,4.63,4.58,4.44,182416.33,0.03,0.66,4.546,4.554,4.43,167629.86,202998.98,207100.51
2018-11-12,4.48,4.55,4.55,4.42,129529.63,0.11,2.48,4.564,4.531,4.429,166376.75,198812.56,210464.3
2018-11-09,4.5,4.52,4.44,4.43,109166.48,-0.07,-1.55,4.602,4.504,4.423,199354.99,197469.54,217763.43
2018-11-08,4.62,4.68,4.51,4.51,172621.47,-0.14,-3.01,4.638,4.494,4.433,237955.98,203150.22,230298.89
2018-11-07,4.72,4.88,4.65,4.61,244415.39,-0.02,-0.43,4.608,4.476,4.429,241582.72,206414.91,238016.17
2018-11-06,4.67,4.71,4.67,4.57,176150.77,-0.07,-1.48,4.562,4.454,4.441,238368.1,213770.17,247770.47
2018-11-05,4.62,4.82,4.74,4.53,294420.84,0.12,2.6,4.498,4.417,4.446,231248.36,226358.67,265739.52
2018-11-02,4.41,4.63,4.62,4.35,302171.44,0.26,5.96,4.406,4.379,4.466,195584.08,222307.7,276345.26
2018-11-01,4.4,4.48,4.36,4.36,190755.16,-0.06,-1.36,4.35,4.332,4.52,168344.46,209898.58,308338.9
2018-10-31,4.34,4.5,4.42,4.29,228342.28,0.07,1.61,4.344,4.304,4.572,171247.1,213348.86,307319.16
2018-10-30,4.28,4.39,4.35,4.26,140552.09,0.07,1.64,4.346,4.306,4.597,189172.23,211202.04,299159.35
2018-10-29,4.33,4.36,4.28,4.23,116099.44,-0.06,-1.38,4.336,4.326,4.603,221468.97,222116.04,293223.46
2018-10-26,4.37,4.43,4.34,4.28,165973.31,0.01,0.23,4.352,4.342,4.592,249031.31,238057.31,290677.89
2018-10-25,4.22,4.36,4.33,4.18,205268.39,-0.1,-2.26,4.314,4.371,4.57,251452.71,257447.56,283232.75
2018-10-24,4.3,4.53,4.43,4.18,317967.94,0.13,3.02,4.264,4.381,4.55,255450.62,269617.43,274540.98
2018-10-23,4.38,4.58,4.3,4.3,302035.78,-0.06,-1.38,4.266,4.428,4.523,233231.85,281770.77,259741.99
2018-10-22,4.16,4.46,4.36,4.15,253911.14,0.21,5.06,4.316,4.475,4.499,222763.11,305120.37,245145.69
2018-10-19,4.08,4.19,4.15,3.82,178080.3,0.07,1.72,4.332,4.552,4.473,227083.32,330382.82,233203.57
2018-10-18,4.42,4.43,4.08,4.01,225257.95,-0.36,-8.11,4.428,4.707,4.458,263442.42,406779.22,225047.61
2018-10-17,4.55,4.6,4.44,4.32,206874.08,-0.11,-2.42,4.498,4.84,4.445,283784.25,401289.47,214380.68
2018-10-16,4.38,4.63,4.55,4.3,249692.09,0.11,2.48,4.59,4.888,4.413,330309.69,387116.66,204526.92
2018-10-15,4.67,4.67,4.44,4.3,275512.16,-0.19,-4.1,4.634,4.88,4.376,387477.62,364330.88,192878.33
2018-10-12,4.45,4.74,4.63,4.45,359875.81,0.2,4.51,4.772,4.842,4.349,433682.32,343298.47,179992.76
2018-10-11,4.61,4.75,4.43,4.41,326967.09,-0.47,-9.59,4.986,4.769,4.31,550116.02,309017.94,162763.21
2018-10-10,4.73,4.93,4.9,4.57,439501.28,0.13,2.73,5.182,4.719,4.282,518794.68,279464.53,147152.43
2018-10-09,4.84,4.92,4.77,4.67,535531.75,-0.36,-7.02,5.186,4.617,4.232,443923.63,237713.21,126090.71
2018-10-08,5.2,5.4,5.13,5.13,506535.69,-0.57,-10.0,5.126,4.522,4.186,341184.14,185171.01,100075.93
2018-09-28,5.3,5.87,5.7,5.22,942044.31,0.29,5.36,4.912,4.393,4.124,252914.61,136024.32,75602.97
2018-09-27,5.41,5.41,5.41,5.41,170360.39,0.49,9.96,4.552,4.209,4.035,67919.86,43316.0,29287.21
2018-09-26,4.92,4.92,4.92,4.92,65146.02,0.45,10.07,4.256,4.049,3.962,40134.38,27471.89,22020.41
2018-09-25,4.47,4.47,4.47,4.47,21834.29,0.41,10.1,4.048,3.938,3.917,31502.79,21937.18,20056.64
2018-09-21,3.9,4.08,4.06,3.9,65188.06,0.16,4.1,3.918,3.872,3.894,29157.88,21425.77,20511.57
2018-09-20,3.95,3.95,3.9,3.89,17070.54,-0.03,-0.76,3.874,3.855,3.888,19134.02,16687.06,19240.19
2018-09-19,3.87,3.95,3.93,3.85,31433.0,0.05,1.29,3.866,3.851,3.886,18712.15,16508.49,19409.89
2018-09-18,3.83,3.89,3.88,3.79,21988.06,0.06,1.57,3.842,3.844,3.881,14809.4,14840.33,18742.83
2018-09-17,3.84,3.86,3.82,3.81,10109.72,-0.02,-0.52,3.828,3.846,3.88,12371.57,14468.2,18638.36
2018-09-14,3.86,3.9,3.84,3.83,15068.8,-0.02,-0.52,3.826,3.85,3.881,13693.67,14980.85,19477.56
2018-09-13,3.84,3.86,3.86,3.83,14961.16,0.05,1.31,3.836,3.855,3.88,14240.09,15181.62,20999.18
2018-09-12,3.82,3.85,3.81,3.81,11919.25,0.0,0.0,3.836,3.861,3.886,14304.82,15258.42,22858.04
2018-09-11,3.82,3.84,3.81,3.79,9798.92,0.0,0.0,3.846,3.875,3.902,14871.27,16568.93,28970.1
2018-09-10,3.89,3.89,3.81,3.81,16720.22,-0.08,-2.06,3.864,3.895,3.917,16564.83,18176.1,30445.6
2018-09-07,3.86,3.93,3.89,3.85,17800.92,0.03,0.78,3.874,3.915,3.93,16268.03,19597.37,31246.05
2018-09-06,3.84,3.88,3.86,3.84,15284.8,0.0,0.0,3.874,3.92,3.937,16123.14,21793.32,31276.39
2018-09-05,3.9,3.92,3.86,3.86,14751.48,-0.04,-1.03,3.886,3.92,3.945,16212.02,22311.3,31838.77
2018-09-04,3.85,3.91,3.9,3.84,18266.75,0.04,1.04,3.904,3.918,3.951,18266.58,22645.32,32607.26
2018-09-03,3.88,3.89,3.86,3.82,15236.2,-0.03,-0.77,3.926,3.914,3.954,19787.37,22808.51,32811.18
2018-08-31,3.92,3.95,3.89,3.89,17076.48,-0.03,-0.77,3.956,3.911,3.956,22926.71,23974.27,33097.15
2018-08-30,3.95,3.97,3.92,3.91,15729.19,-0.03,-0.76,3.966,3.905,3.959,27463.5,26816.74,33326.14
2018-08-29,4.0,4.0,3.95,3.94,25024.3,-0.06,-1.5,3.954,3.911,3.96,28410.58,30457.67,34769.11
2018-08-28,4.03,4.05,4.01,3.97,25870.68,0.0,0.0,3.932,3.928,3.965,27024.05,41371.28,35179.72
2018-08-27,3.91,4.02,4.01,3.9,30932.91,0.07,1.78,3.902,3.939,3.968,25829.65,42715.09,35035.72
2018-08-24,3.86,4.1,3.94,3.84,39760.4,0.08,2.07,3.866,3.945,3.969,25021.82,42894.72,34656.02
2018-08-23,3.85,3.88,3.86,3.82,20464.6,0.02,0.52,3.844,3.953,3.977,26169.98,40759.46,34185.22
2018-08-22,3.86,3.87,3.84,3.81,18091.68,-0.02,-0.52,3.868,3.97,3.99,32504.75,41366.24,35555.43
2018-08-21,3.82,3.88,3.86,3.81,19898.68,0.03,0.78,3.924,3.983,4.001,55718.5,42569.2,36447.53
2018-08-20,3.87,3.87,3.83,3.78,26893.76,-0.01,-0.26,3.976,3.994,4.01,59600.53,42813.84,37690.54
2018-08-17,4.0,4.02,3.83,3.81,45501.16,-0.14,-3.53,4.024,4.0,4.016,60767.61,42220.03,37649.48
2018-08-16,4.05,4.06,3.98,3.93,52138.49,-0.14,-3.4,4.062,4.012,4.019,55348.94,39835.55,36285.22
2018-08-15,4.25,4.38,4.12,4.11,134160.41,0.01,0.24,4.072,4.008,4.012,50227.73,39080.56,34691.92
2018-08-14,4.06,4.16,4.12,4.05,39308.85,0.05,1.23,4.042,4.001,4.001,29419.91,28988.17,29207.61
2018-08-13,3.99,4.07,4.07,3.94,32729.16,0.05,1.24,4.012,3.996,3.988,26027.15,27356.35,27948.38
2018-08-10,4.03,4.04,4.02,3.98,18407.79,0.0,0.0,3.976,3.992,3.979,23672.45,26417.32,27205.42
2018-08-09,3.95,4.05,4.03,3.94,26532.42,0.06,1.51,3.962,4.0,3.972,24322.15,27610.99,27179.18
2018-08-08,4.0,4.04,3.97,3.96,30121.32,0.0,0.0,3.944,4.01,3.964,27933.4,29744.62,27048.63
2018-08-07,3.9,3.97,3.97,3.85,22345.06,0.08,2.06,3.96,4.018,3.954,28556.42,30325.86,27059.19
